text,intent,entities/0/end,entities/0/entity,entities/0/start,entities/0/value
hello restaurants near Atlanta thanks,findRestaurantsByCity,30,city,23,Atlanta
restaurants in the area of Singapore,findRestaurantsByCity,36,city,27,Singapore
where to eat in the area of New York,findRestaurantsByCity,36,city,28,New York
cafes around San Francisco,findRestaurantsByCity,26,city,13,San Francisco
food near Singapore city,findRestaurantsByCity,19,city,10,Singapore
please searching for cafes near San Francisco city thanks,findRestaurantsByCity,45,city,32,San Francisco
cafes around Atlanta,findRestaurantsByCity,20,city,13,Atlanta
places to eat near San Francisco,findRestaurantsByCity,32,city,19,San Francisco
I'm looking for food around Atlanta thanks,findRestaurantsByCity,35,city,28,Atlanta
restaurants around Atlanta,findRestaurantsByCity,26,city,19,Atlanta
please Help me find food in the area of San Francisco city thanks,findRestaurantsByCity,53,city,40,San Francisco
hey there pls Help me find where to eat near Singapore city,findRestaurantsByCity,54,city,45,Singapore
please searching for restaurants located at Singapore city,findRestaurantsByCity,53,city,44,Singapore
food near San Francisco,findRestaurantsByCity,23,city,10,San Francisco
hello please find restaurants in the area of Atlanta thank you,findRestaurantsByCity,52,city,45,Atlanta
pls searching for places to eat located at Atlanta city thank you,findRestaurantsByCity,50,city,43,Atlanta
food in the area of Singapore,findRestaurantsByCity,29,city,20,Singapore
hello Help me find places to eat located at San Francisco thank you,findRestaurantsByCity,57,city,44,San Francisco
hi please searching for where to eat around Atlanta city,findRestaurantsByCity,51,city,44,Atlanta
hello pls restaurants around New York,findRestaurantsByCity,37,city,29,New York
hey there Help me find cafes near Singapore thanks,findRestaurantsByCity,43,city,34,Singapore
cafes located at Singapore,findRestaurantsByCity,26,city,17,Singapore
hey searching for restaurants in the area of Singapore,findRestaurantsByCity,54,city,45,Singapore
hey there pls searching for restaurants located at Singapore city thank you,findRestaurantsByCity,60,city,51,Singapore
hello pls Help me find where to eat in the area of New York,findRestaurantsByCity,59,city,51,New York
places to eat located at New York,findRestaurantsByCity,33,city,25,New York
restaurants around San Francisco,findRestaurantsByCity,32,city,19,San Francisco
hi find restaurants around New York city thanks,findRestaurantsByCity,35,city,27,New York
hi please find cafes around Singapore,findRestaurantsByCity,37,city,28,Singapore
hello Help me find places to eat in the area of San Francisco thank you,findRestaurantsByCity,61,city,48,San Francisco
plz find food in the area of New York,findRestaurantsByCity,37,city,29,New York
hi please find cafes located at Atlanta city,findRestaurantsByCity,39,city,32,Atlanta
hey plz Help me find food near San Francisco thank you,findRestaurantsByCity,44,city,31,San Francisco
hey there Help me find cafes around San Francisco city thank you,findRestaurantsByCity,49,city,36,San Francisco
hello plz I'm looking for places to eat in the area of San Francisco thanks,findRestaurantsByCity,68,city,55,San Francisco
hi Help me find places to eat around Singapore thanks,findRestaurantsByCity,46,city,37,Singapore
hey there pls I'm looking for food in the area of Atlanta city thanks,findRestaurantsByCity,57,city,50,Atlanta
hello I'm looking for restaurants located at San Francisco,findRestaurantsByCity,58,city,45,San Francisco
hey there plz searching for food in the area of New York,findRestaurantsByCity,56,city,48,New York
food around New York,findRestaurantsByCity,20,city,12,New York
hello please restaurants near Atlanta city thanks,findRestaurantsByCity,37,city,30,Atlanta
hey there food around Atlanta thanks,findRestaurantsByCity,29,city,22,Atlanta
please Help me find restaurants in the area of Singapore city thank you,findRestaurantsByCity,56,city,47,Singapore
find restaurants located at Atlanta thanks,findRestaurantsByCity,35,city,28,Atlanta
hello I'm looking for cafes in the area of Atlanta,findRestaurantsByCity,50,city,43,Atlanta
restaurants located at New York,findRestaurantsByCity,31,city,23,New York
hello cafes located at San Francisco city,findRestaurantsByCity,36,city,23,San Francisco
hello please food located at San Francisco city,findRestaurantsByCity,42,city,29,San Francisco
hey there plz find places to eat in the area of Atlanta thanks,findRestaurantsByCity,55,city,48,Atlanta
pls Help me find cafes located at Atlanta city thank you,findRestaurantsByCity,41,city,34,Atlanta
